arm,panel,row,col,n_frozen,n_preC6
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B3,0,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B4,0,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B5,1,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B6,2,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B1,3,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B3,1,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B4,44,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B5,0,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B6,2,
H1 human spleen,frozenAxB,A_sender_for_emt_ecm (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B1,3,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B3,1,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B4,45,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B5,2,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B6,0,
H1 human spleen,frozenAxB,A_sender_for_oxidative_stress (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B1,4,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B3,1,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B4,45,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B5,2,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B6,2,
H1 human spleen,frozenAxB,A_sender_for_secondary_senescence (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B1,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B2,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B3,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B4,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B5,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B6,0,
H1 human spleen,frozenAxB,A_SENDER_FINAL_strict (PRIMARY),B7,0,
