section,cfg,stratified,celltype,module,family,n,aic,lam,d_half,best_family,d_aic_vs_cov
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,tnfa_nfkb_proximal,step,2623,-18207.79995314942,20.177866835741543,20.200000000000003,step,2.4069038929337694
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,tnfa_nfkb_proximal,spline,2623,-18200.5491713159,,,step,9.657685726455384
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,downstream_arrest,exponential,12292,-103794.24844930462,49.99999999999999,34.800000000000004,spline,-13.997162274768925
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,downstream_arrest,gaussian,12292,-103800.05498759112,49.99999999999999,59.0,spline,-19.8037005612714
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,downstream_arrest,powerlaw,12292,-103792.75041395416,49.99999999999999,71.4,spline,-12.49912692430371
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,downstream_arrest,step,12292,-103798.97298879044,40.868941774896264,41.0,spline,-18.721701760587166
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,downstream_arrest,spline,12292,-103803.90508842834,,,spline,-23.653801398482756
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,emt_ecm,exponential,12292,-87093.75646917855,30.20149733539872,21.0,spline,-144.5756723320228
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,emt_ecm,gaussian,12292,-87081.90943144678,23.47241150476913,27.8,spline,-132.7286346002511
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,emt_ecm,powerlaw,12292,-87096.4892737981,6.999999999999999,15.8,spline,-147.3084769515699
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,emt_ecm,step,12292,-87043.53179063891,33.40540803599722,33.6,spline,-94.3509937923809
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,emt_ecm,spline,12292,-87107.99657013672,,,spline,-158.8157732901891
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,il6_jak_stat3,exponential,12292,-80665.27805994671,6.999999999999999,5.0,step,0.3635464488470461
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,il6_jak_stat3,gaussian,12292,-80667.18960113853,6.999999999999999,8.4,step,-1.5479947429703316
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,il6_jak_stat3,powerlaw,12292,-80664.45861330895,8.14292620081837,1.6,step,1.182993086607894
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,il6_jak_stat3,step,12292,-80679.73015430095,7.361938632551805,7.4,step,-14.088547905397718
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,il6_jak_stat3,spline,12292,-80662.9395588096,,,step,2.702047585960827
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,interferon_response,exponential,12292,-86451.28163520037,6.999999999999999,5.0,step,-5.002574565587565
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,interferon_response,gaussian,12292,-86452.05785391404,6.999999999999999,8.4,step,-5.778793279256206
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,interferon_response,powerlaw,12292,-86449.13815406432,19.185852382096297,3.8000000000000003,step,-2.859093429535278
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,interferon_response,step,12292,-86457.08107593613,11.58882939190469,11.600000000000001,step,-10.802015301349456
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,interferon_response,spline,12292,-86444.27826213905,,,step,2.0007984957337612
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,oxidative_stress,exponential,12292,-71419.19111628887,6.999999999999999,5.0,spline,-94.41729538109212
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,oxidative_stress,gaussian,12292,-71420.7887291129,6.999999999999999,8.4,spline,-96.01490820512117
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,oxidative_stress,powerlaw,12292,-71430.58287921203,7.742591489922676,1.6,spline,-105.80905830425036
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,oxidative_stress,step,12292,-71410.87371541168,7.361938632551805,7.4,spline,-86.09989450390276
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,oxidative_stress,spline,12292,-71434.16646483506,,,spline,-109.39264392727637
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,secondary_senescence,exponential,12292,-91513.13731046613,49.99999999999999,34.800000000000004,step,-4.044902020279551
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,secondary_senescence,gaussian,12292,-91513.27051677331,9.006764443646388,10.8,step,-4.178108327454538
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,secondary_senescence,powerlaw,12292,-91511.4864531442,8.14292620081837,18.0,step,-2.3940446983469883
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,secondary_senescence,step,12292,-91515.29145216275,10.477345453252495,10.600000000000001,step,-6.199043716900633
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,secondary_senescence,spline,12292,-91509.41236708473,,,step,-0.3199586388800526
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,tnfa_nfkb_proximal,exponential,12292,-92815.59136269715,6.999999999999999,5.0,step,-23.30551591287076
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,tnfa_nfkb_proximal,gaussian,12292,-92820.38296431438,6.999999999999999,8.4,step,-28.097117530109244
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,tnfa_nfkb_proximal,powerlaw,12292,-92818.31214032666,7.742591489922676,1.6,step,-26.02629354238161
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,tnfa_nfkb_proximal,step,12292,-92824.49876627787,7.361938632551805,7.4,step,-32.21291949359875
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Endothelial,tnfa_nfkb_proximal,spline,12292,-92815.80528602656,,,step,-23.519439242285443
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,downstream_arrest,exponential,28529,-253679.18723637605,49.99999999999999,34.800000000000004,spline,-8.65905810665572
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,downstream_arrest,gaussian,28529,-253695.55020149442,49.99999999999999,59.0,spline,-25.022023225028533
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,downstream_arrest,powerlaw,28529,-253678.1138905114,49.99999999999999,71.4,spline,-7.585712241998408
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,downstream_arrest,step,28529,-253699.96182657266,49.99999999999999,50.0,spline,-29.433648303267546
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,downstream_arrest,spline,28529,-253729.46109485545,,,spline,-58.93291658605449
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,emt_ecm,exponential,28529,-229850.90308742007,6.999999999999999,5.0,spline,-208.69480551194283
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,emt_ecm,gaussian,28529,-229843.93527332312,6.999999999999999,8.4,spline,-201.7269914149947
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,emt_ecm,powerlaw,28529,-229860.46353352032,12.18803582947357,2.4000000000000004,spline,-218.25525161219412
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,emt_ecm,step,28529,-229785.29951564176,9.472463873139185,9.600000000000001,spline,-143.091233733634
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,emt_ecm,spline,28529,-229879.3331820795,,,spline,-237.1249001713877
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,il6_jak_stat3,exponential,28529,-230133.91652173674,6.999999999999999,5.0,gaussian,-62.76704874949064
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,il6_jak_stat3,gaussian,28529,-230137.9083999484,6.999999999999999,8.4,gaussian,-66.75892696116352
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,il6_jak_stat3,powerlaw,28529,-230136.59861191356,10.477345453252495,2.0,gaussian,-65.44913892631303
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,il6_jak_stat3,step,28529,-230122.24702949318,10.477345453252495,10.600000000000001,gaussian,-51.097556505934335
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,il6_jak_stat3,spline,28529,-230134.04211958798,,,gaussian,-62.89264660072513
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,interferon_response,exponential,28529,-234983.24839350322,6.999999999999999,5.0,gaussian,-60.015013106167316
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,interferon_response,gaussian,28529,-234985.60154575825,6.999999999999999,8.4,gaussian,-62.36816536120023
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,interferon_response,powerlaw,28529,-234985.05142240602,10.477345453252495,2.0,gaussian,-61.81804200896295
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Hepatocytes,interferon_response,step,28529,-234976.28613536156,7.742591489922676,7.800000000000001,gaussian,-53.05275496450486
