section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,naive,24230,step,13.48099749887925,,0.0034122830519626407,17.35338542569734,-175454.97944148426,-175430.28248861333,-24.696952870930545,13.600000000000001,13.600000000000001,0,3,6.999999999999999,38.85968176362148,powerlaw,7.436030301527353,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,naive,24230,spline,,,,17.344007937673165,-175458.07647952274,-175430.28248861333,-27.79399090941297,,,0,8,,,powerlaw,4.338992263044929,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,ctrl,24230,exponential,6.999999999999999,,0.004596218559643706,16.085624708283767,-177247.10637004647,-177247.8059955657,0.6996255192207173,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,1.4502307792427018,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,ctrl,24230,gaussian,6.999999999999999,,0.0033892316405284605,16.085249669377976,-177247.671302947,-177247.8059955657,0.13469261868158355,8.4,17.2,1,26,6.999999999999999,49.99999999999999,step,0.8852978787035681,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,ctrl,24230,powerlaw,6.999999999999999,4.0,0.037006028572724135,16.085054228042132,-177245.96570759936,-177247.8059955657,1.8402879663335625,1.4000000000000001,8.0,1,27,6.999999999999999,49.99999999999999,step,2.590893226355547,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,ctrl,24230,step,13.48099749887925,,0.0013541326284669901,16.08466196911945,-177248.55660082572,-177247.8059955657,-0.7506052600219846,13.600000000000001,13.600000000000001,0,26,6.999999999999999,42.98209161773131,step,0.0,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,ctrl,24230,spline,,,,16.083304855273322,-177240.60104887496,-177247.8059955657,7.204946690733777,,,0,31,,,step,7.955551950755762,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,naive,24230,exponential,6.999999999999999,,0.02577763515758154,42.73895554488503,-153615.91831957045,-153578.9944772864,-36.92384228404262,5.0,21.0,1,3,6.999999999999999,39.138189719531006,powerlaw,3.428822469431907,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,naive,24230,gaussian,6.999999999999999,,0.017418782444014024,42.74062711863285,-153614.97067264348,-153578.9944772864,-35.97619535707054,8.4,17.2,1,3,6.999999999999999,36.996965940873984,powerlaw,4.376469396403991,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,naive,24230,powerlaw,6.999999999999999,4.0,0.19699406857724652,42.72938079410502,-153619.3471420399,-153578.9944772864,-40.35266475347453,1.4000000000000001,8.0,1,4,6.999999999999999,17.368160179842445,powerlaw,0.0,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,naive,24230,step,13.48099749887925,,0.005753943571227732,42.7527272466811,-153608.1119850474,-153578.9944772864,-29.117507760995068,13.600000000000001,13.600000000000001,0,3,9.472463873139185,31.763081427768892,powerlaw,11.23515699247946,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,naive,24230,spline,,,,42.72762235768441,-153612.3442964662,-153578.9944772864,-33.34981917979894,,,0,8,,,powerlaw,7.002845573675586,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,ctrl,24230,exponential,14.178039470333344,,0.00543311544569226,31.716389145576255,-160797.1762603099,-160791.085631178,-6.090629131911555,10.0,42.6,0,26,6.999999999999999,49.99999999999999,step,1.6182247956166975,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,ctrl,24230,gaussian,15.682109678112967,,0.002961213424441098,31.716654111134957,-160796.97383850708,-160791.085631178,-5.888207329087891,18.6,38.400000000000006,0,26,6.999999999999999,49.99999999999999,step,1.8206465984403621,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,ctrl,24230,powerlaw,6.999999999999999,2.0,0.01705938145218465,31.716071112845057,-160795.41922528544,-160791.085631178,-4.333594107447425,3.0,24.400000000000002,1,27,6.999999999999999,49.99999999999999,step,3.375259820080828,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,ctrl,24230,step,22.318425721029357,,0.001938095486920532,31.714271005522182,-160798.79448510552,-160791.085631178,-7.708853927528253,22.400000000000002,22.400000000000002,0,26,9.472463873139185,38.85968176362148,step,0.0,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,il6_jak_stat3,ctrl,24230,spline,,,,31.710564414382752,-160791.62652094182,-160791.085631178,-0.5408897638262715,,,0,31,,,step,7.167964163701981,0.042034124026000874
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,interferon_response,naive,24230,exponential,6.999999999999999,,0.009198352598312644,23.655723095133837,-167948.10228291183,-167942.68164268832,-5.420640223514056,5.0,21.0,1,3,6.999999999999999,49.99999999999999,step,3.5146483381686267,0.031251857390489766
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,interferon_response,naive,24230,gaussian,6.999999999999999,,0.006388419047947259,23.655429354296874,-167948.40315660063,-167942.68164268832,-5.721513912314549,8.4,17.2,1,3,6.999999999999999,49.99999999999999,step,3.2137746493681334,0.031251857390489766
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,interferon_response,naive,24230,powerlaw,6.999999999999999,4.0,0.0728322111359461,23.653738066668325,-167948.13558612711,-167942.68164268832,-5.453943438798888,1.4000000000000001,8.0,1,4,6.999999999999999,49.99999999999999,step,3.481345122883795,0.031251857390489766
