section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Endothelial,downstream_arrest,naive,superposition,12292,-0.000570822823072401,0.0001393466198946602,0.00017899150426045363,1.2845055330065644,-0.000843942198065935,-0.00029770344807886705,-0.0009561345751452507,-0.0002291086740263723
7259_liver_sbr_Male_26-U1,Endothelial,emt_ecm,ctrl,nearest,12292,0.0033882450621766846,0.0023680590715147135,0.0023501610189762367,0.9924418893287876,-0.0012531507179921533,0.008029640842345523,-0.0009313032281992152,0.008131784954188136
7259_liver_sbr_Male_26-U1,Endothelial,emt_ecm,ctrl,superposition,12292,0.0002918146850565657,0.00024138572068782907,0.00023606809066365768,0.9779704035142642,-0.00018130132749157924,0.0007649306976047107,-0.00015346066746556346,0.0007261868468311463
7259_liver_sbr_Male_26-U1,Endothelial,emt_ecm,naive,nearest,12292,0.01678404151139212,0.0013729730901717652,0.0015235484967660172,1.1096710544963517,0.014093014254655459,0.019475068768128777,0.013869432637134589,0.02004893680114318
7259_liver_sbr_Male_26-U1,Endothelial,emt_ecm,naive,superposition,12292,0.006344819499445147,0.0005206189742082058,0.0006698403839545502,1.2866230720332292,0.005324406309997064,0.007365232688893231,0.0050612103779905165,0.007572576038964391
7259_liver_sbr_Male_26-U1,Endothelial,il6_jak_stat3,ctrl,nearest,12292,-0.006469828661557573,0.0022473543132228756,0.0026776938782392527,1.1914871911760267,-0.01087464311547441,-0.0020650142076407366,-0.011575841096962653,-0.001375795106679742
7259_liver_sbr_Male_26-U1,Endothelial,il6_jak_stat3,ctrl,superposition,12292,-0.005229646804179799,0.0019175469149495933,0.002375165094699841,1.2386477098331006,-0.008988038757481002,-0.0014712548508785963,-0.009692840712431997,-0.0007897881685265277
7259_liver_sbr_Male_26-U1,Endothelial,il6_jak_stat3,naive,nearest,12292,0.006130100440848636,0.0032147666231475158,0.003661768932780814,1.1390465816133324,-0.00017084214052049546,0.012431043022217767,-0.0011857969477375612,0.014045640715705052
7259_liver_sbr_Male_26-U1,Endothelial,il6_jak_stat3,naive,superposition,12292,0.0034394512821006623,0.0023170488665473395,0.0026575616908733153,1.1469597077740434,-0.001101964496332123,0.007980867060533447,-0.0019201337633152629,0.008847581869996842
7259_liver_sbr_Male_26-U1,Endothelial,interferon_response,ctrl,nearest,12292,-0.004560327752507436,0.0024463113283610645,0.0026371501745382484,1.0780108582111823,-0.009355097956095123,0.00023444245108025005,-0.00934958861573619,0.0005192618808604063
7259_liver_sbr_Male_26-U1,Endothelial,interferon_response,ctrl,superposition,12292,-0.0026481275937325624,0.0017825114867068444,0.0018461354373213532,1.0356934309197934,-0.006141850107677977,0.0008455949202128524,-0.006246118965114352,0.0008568546494733024
7259_liver_sbr_Male_26-U1,Endothelial,interferon_response,naive,nearest,12292,0.007623340457425498,0.0025405949612249358,0.0028793663800278017,1.1333433404274442,0.0026437743334246236,0.012602906581426373,0.0019780406880836937,0.013122647127620702
7259_liver_sbr_Male_26-U1,Endothelial,interferon_response,naive,superposition,12292,0.005436693819402313,0.0018310456848257513,0.0019954681772284774,1.089797045352461,0.0018478442771438404,0.009025543361660785,0.0012193867934407897,0.009359604258296067
