section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7001_liver_sham_Male_52-U1,sham,tierA_score,depth_quintile,Q1_low,20.05,36.82,1.837
7001_liver_sham_Male_52-U1,sham,tierA_score,depth_quintile,Q2,20.01,26.46,1.322
7001_liver_sham_Male_52-U1,sham,tierA_score,depth_quintile,Q3,19.99,18.6,0.93
7001_liver_sham_Male_52-U1,sham,tierA_score,depth_quintile,Q4,19.96,12.33,0.618
7001_liver_sham_Male_52-U1,sham,tierA_score,depth_quintile,Q5_high,19.99,5.79,0.29
7001_liver_sham_Male_52-U1,sham,tierA_score,zonation_hepatocyte,periportal,33.33,22.84,0.685
7001_liver_sham_Male_52-U1,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,32.43,0.973
7001_liver_sham_Male_52-U1,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,44.73,1.342
7001_liver_sham_Male_52-U1,sham,senepy_score,depth_quintile,Q1_low,20.05,3.97,0.198
7001_liver_sham_Male_52-U1,sham,senepy_score,depth_quintile,Q2,20.01,11.5,0.575
7001_liver_sham_Male_52-U1,sham,senepy_score,depth_quintile,Q3,19.99,18.74,0.937
7001_liver_sham_Male_52-U1,sham,senepy_score,depth_quintile,Q4,19.96,28.19,1.412
7001_liver_sham_Male_52-U1,sham,senepy_score,depth_quintile,Q5_high,19.99,37.59,1.881
7001_liver_sham_Male_52-U1,sham,senepy_score,zonation_hepatocyte,periportal,33.33,21.43,0.643
7001_liver_sham_Male_52-U1,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,42.86,1.286
7001_liver_sham_Male_52-U1,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,35.71,1.071
7001_liver_sham_Male_52-U1,sham,deepscence_score,depth_quintile,Q1_low,20.05,18.76,0.936
7001_liver_sham_Male_52-U1,sham,deepscence_score,depth_quintile,Q2,20.01,20.65,1.032
7001_liver_sham_Male_52-U1,sham,deepscence_score,depth_quintile,Q3,19.99,22.64,1.132
7001_liver_sham_Male_52-U1,sham,deepscence_score,depth_quintile,Q4,19.96,24.82,1.244
7001_liver_sham_Male_52-U1,sham,deepscence_score,depth_quintile,Q5_high,19.99,13.13,0.657
7001_liver_sham_Male_52-U1,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,23.24,0.697
