section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7435_liver_sham_Male_10-U1,sham,deepscence_score,Q3,19.98,0.921
7435_liver_sham_Male_10-U1,sham,deepscence_score,Q4,19.96,0.698
7435_liver_sham_Male_10-U1,sham,deepscence_score,Q5,20.0,0.473
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,Q1,20.06,0.424
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,Q2,20.01,0.661
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,Q3,19.98,0.888
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,Q4,19.96,1.142
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,Q5,20.0,1.887
7448_liver_sbr_Male_10-U1,SBR,tierA_score,Q1,20.03,1.75
7448_liver_sbr_Male_10-U1,SBR,tierA_score,Q2,20.0,1.266
7448_liver_sbr_Male_10-U1,SBR,tierA_score,Q3,19.98,0.933
7448_liver_sbr_Male_10-U1,SBR,tierA_score,Q4,19.99,0.692
7448_liver_sbr_Male_10-U1,SBR,tierA_score,Q5,19.99,0.357
7448_liver_sbr_Male_10-U1,SBR,senepy_score,Q1,20.03,0.107
7448_liver_sbr_Male_10-U1,SBR,senepy_score,Q2,20.0,0.438
7448_liver_sbr_Male_10-U1,SBR,senepy_score,Q3,19.98,0.758
7448_liver_sbr_Male_10-U1,SBR,senepy_score,Q4,19.99,1.199
7448_liver_sbr_Male_10-U1,SBR,senepy_score,Q5,19.99,2.499
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,Q1,20.03,1.108
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,Q2,20.0,1.091
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,Q3,19.98,1.085
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,Q4,19.99,0.942
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,Q5,19.99,0.773
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q1,20.03,0.233
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q2,20.0,0.444
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q3,19.98,0.76
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q4,19.99,1.189
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q5,19.99,2.376
7450_liver_sbr_Male_10-U1,SBR,tierA_score,Q1,20.06,1.843
7450_liver_sbr_Male_10-U1,SBR,tierA_score,Q2,19.98,1.197
7450_liver_sbr_Male_10-U1,SBR,tierA_score,Q3,20.0,0.931
7450_liver_sbr_Male_10-U1,SBR,tierA_score,Q4,19.98,0.657
7450_liver_sbr_Male_10-U1,SBR,tierA_score,Q5,19.98,0.368
7450_liver_sbr_Male_10-U1,SBR,senepy_score,Q1,20.06,0.103
7450_liver_sbr_Male_10-U1,SBR,senepy_score,Q2,19.98,0.378
