held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7435_liver_sham_Male_10-U1,,,4208,-5969.55096343526,-1.418619525531193,,0.9993620379694635,-5970.893347848409,-1.4189385332339375,1.3423844131484657,Biliary/ductular,downstream_arrest,spline,naive
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.009898675078176213,31155,-43122.394112004404,-1.384124349606946,0.8702727950534932,0.930626916543635,-43121.820761406096,-1.3841059464421792,-0.5733505983080249,Biliary/ductular,emt_ecm,exponential,ctrl
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.009159531558285482,27623,-38095.09982743594,-1.3791079834715976,0.8784941899530104,0.9223361175684822,-38094.999272656336,-1.3791043432160277,-0.10055477960122516,Biliary/ductular,emt_ecm,exponential,ctrl
7001_liver_sham_Male_52-U1,6.999999999999999,-0.004546100442600975,21796,-29112.46958427828,-1.3356794634005449,0.9016998495219362,0.844830470911504,-29114.106084820538,-1.3357545460093843,1.636500542259455,Biliary/ductular,emt_ecm,exponential,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.006488908913229022,7958,-10772.091396857517,-1.353617918680261,0.8893705902859633,0.8774491131005108,-10773.088329073635,-1.353743192896913,0.9969322161177843,Biliary/ductular,emt_ecm,exponential,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.007245559677219375,3895,-5227.0209619536045,-1.3419822752127355,0.8893937166130508,0.8567451600070801,-5227.472329660302,-1.3420981590912202,0.45136770669796533,Biliary/ductular,emt_ecm,exponential,ctrl
7435_liver_sham_Male_10-U1,6.999999999999999,-0.009114545324223275,4208,-5623.672099171588,-1.3364239779400162,0.8899430776153929,0.8468283752115306,-5622.572359269729,-1.3361626329063043,-1.0997399018597207,Biliary/ductular,emt_ecm,exponential,ctrl
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0229135642337481,31155,-44194.656654617334,-1.4185413787391217,0.9994749685741061,0.9992059568789998,-44207.030003808155,-1.4189385332629805,12.37334919082059,Biliary/ductular,emt_ecm,exponential,naive
7260_liver_sbr_Male_26-U1,27.304873519796445,0.02411660400014597,27623,-39186.58991429814,-1.4186217975707975,0.9994183894115001,0.9993667248073831,-39195.339104162675,-1.4189385332571651,8.749189864531218,Biliary/ductular,emt_ecm,exponential,naive
7001_liver_sham_Male_52-U1,49.99999999999999,0.030253447492257605,21796,-30933.144614880854,-1.4192119937089767,0.9990847289148331,1.000546059215424,-30927.184270701942,-1.4189385332493092,-5.960344178911328,Biliary/ductular,emt_ecm,exponential,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.02514523751789311,7958,-11290.220791124979,-1.4187259099176903,0.9993677170301688,0.9995748288039996,-11291.912847495789,-1.418938533236465,1.6920563708099507,Biliary/ductular,emt_ecm,exponential,naive
7352_liver_sham_Male_2-U1,49.99999999999999,0.02459283918826077,3895,-5525.080281205118,-1.4185058488331497,0.9993951922606604,0.9991349627646411,-5526.765586945418,-1.4189385332337403,1.685305740300464,Biliary/ductular,emt_ecm,exponential,naive
7435_liver_sham_Male_10-U1,49.99999999999999,0.02233728598529836,4208,-5964.511728928176,-1.41742198881373,0.999501045654811,0.996968217355341,-5970.893347848409,-1.4189385332339375,6.38161892023254,Biliary/ductular,emt_ecm,exponential,naive
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.009685316575546861,31155,-43122.62602809044,-1.38413179355129,0.8702755568108734,0.9306400691520861,-43121.820761406096,-1.3841059464421792,-0.8052666843432235,Biliary/ductular,emt_ecm,gaussian,ctrl
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.00883421053977976,27623,-38095.24117090061,-1.3791131003475585,0.8784987339392045,0.9223453365351728,-38094.999272656336,-1.3791043432160277,-0.2418982442759443,Biliary/ductular,emt_ecm,gaussian,ctrl
7001_liver_sham_Male_52-U1,22.318425721029357,-0.00400458454831274,21796,-29113.279689856485,-1.3357166310266326,0.9017047166938624,0.8448972164745562,-29114.106084820538,-1.3357545460093843,0.8263949640531791,Biliary/ductular,emt_ecm,gaussian,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.006033558892381168,7958,-10772.140572331384,-1.3536240980562182,0.88937547160167,0.8774600412257129,-10773.088329073635,-1.353743192896913,0.947756742250931,Biliary/ductular,emt_ecm,gaussian,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.006844373462354032,3895,-5227.0614400525865,-1.3419926675359657,0.8893984016127224,0.8567634781623636,-5227.472329660302,-1.3420981590912202,0.4108896077159443,Biliary/ductular,emt_ecm,gaussian,ctrl
7435_liver_sham_Male_10-U1,6.999999999999999,-0.008744758484132444,4208,-5623.6953307812355,-1.3364294987597993,0.8899482858492844,0.8468379508128315,-5622.572359269729,-1.3361626329063043,-1.1229715115068757,Biliary/ductular,emt_ecm,gaussian,ctrl
7259_liver_sbr_Male_26-U1,21.2211739115045,0.023455194455963956,31155,-44194.8056884279,-1.4185461623632771,0.9994498538530331,0.9992155268968758,-44207.030003808155,-1.4189385332629805,12.224315380255575,Biliary/ductular,emt_ecm,gaussian,naive
7260_liver_sbr_Male_26-U1,14.911122358641625,0.025036025623541205,27623,-39187.94547662207,-1.4186708712530165,0.9993731974209775,0.9994648181958319,-39195.339104162675,-1.4189385332571651,7.393627540601301,Biliary/ductular,emt_ecm,gaussian,naive
7001_liver_sham_Male_52-U1,20.177866835741543,0.03007948912802231,21796,-30931.880447123593,-1.4191539937201134,0.9990952243337972,1.000430174421153,-30927.184270701942,-1.4189385332493092,-4.696176421650307,Biliary/ductular,emt_ecm,gaussian,naive
7248_liver_sham_Male_26-U1,24.6860647223019,0.025213044594186607,7958,-11290.046311402988,-1.418703984845814,0.9993643023822915,0.9995310044551222,-11291.912847495789,-1.418938533236465,1.866536092800743,Biliary/ductular,emt_ecm,gaussian,naive
7352_liver_sham_Male_2-U1,20.177866835741543,0.024944960255671056,3895,-5525.241034848482,-1.4185471206286218,0.9993777489578429,0.9992174626153956,-5526.765586945418,-1.4189385332337403,1.5245520969365316,Biliary/ductular,emt_ecm,gaussian,naive
7435_liver_sham_Male_10-U1,22.318425721029357,0.02273512040885216,4208,-5964.742599734542,-1.4174768535490831,0.999483114299995,0.9970779395292295,-5970.893347848409,-1.4189385332339375,6.150748113866939,Biliary/ductular,emt_ecm,gaussian,naive
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.011415793381810951,31155,-43121.69260051286,-1.3841018327880874,0.8702411998286332,0.9305855313234046,-43121.820761406096,-1.3841059464421792,0.12816089323314372,Biliary/ductular,emt_ecm,powerlaw,ctrl
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.01159620338303829,27623,-38095.19321850903,-1.379111364388699,0.8784460081790075,0.9223396743568233,-38094.999272656336,-1.3791043432160277,-0.1939458526976523,Biliary/ductular,emt_ecm,powerlaw,ctrl
7001_liver_sham_Male_52-U1,6.999999999999999,-0.006665302530639775,21796,-29111.54327309122,-1.3356369642636825,0.9016772593994214,0.8447552334033666,-29114.106084820538,-1.3357545460093843,2.5628117293163086,Biliary/ductular,emt_ecm,powerlaw,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.008138691620781995,7958,-10771.427677578078,-1.353534515905765,0.8893474372889995,0.8773010341076097,-10773.088329073635,-1.353743192896913,1.6606514955565217,Biliary/ductular,emt_ecm,powerlaw,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.009597019312667357,3895,-5227.116838980601,-1.342006890624031,0.8893559030323716,0.856790356539635,-5227.472329660302,-1.3420981590912202,0.35549067970168835,Biliary/ductular,emt_ecm,powerlaw,ctrl
7435_liver_sham_Male_10-U1,6.999999999999999,-0.011327270391690377,4208,-5624.0887878284675,-1.336523000909807,0.8898996029340682,0.8470067903119792,-5622.572359269729,-1.3361626329063043,-1.5164285587388804,Biliary/ductular,emt_ecm,powerlaw,ctrl
7259_liver_sbr_Male_26-U1,49.99999999999999,0.022852997793636493,31155,-44194.66723027383,-1.4185417181920665,0.9994777404918442,0.9992066345844977,-44207.030003808155,-1.4189385332629805,12.362773534325243,Biliary/ductular,emt_ecm,powerlaw,naive
7260_liver_sbr_Male_26-U1,49.99999999999999,0.02395475415395774,27623,-39186.80325101003,-1.4186295207258455,0.9994261697534236,0.9993821621543056,-39195.339104162675,-1.4189385332571651,8.53585315264354,Biliary/ductular,emt_ecm,powerlaw,naive
7001_liver_sham_Male_52-U1,49.99999999999999,0.030267844203614225,21796,-30933.304235614945,-1.4192193171047416,0.9990838576072658,1.0005606919351386,-30927.184270701942,-1.4189385332493092,-6.119964913003059,Biliary/ductular,emt_ecm,powerlaw,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.025137928858782934,7958,-11290.303368568313,-1.4187362865755608,0.9993680845326907,0.9995955697707392,-11291.912847495789,-1.418938533236465,1.6094789274757204,Biliary/ductular,emt_ecm,powerlaw,naive
7352_liver_sham_Male_2-U1,49.99999999999999,0.024543450742446737,3895,-5525.0655978975965,-1.4185020790494471,0.999397619025653,0.999127426781824,-5526.765586945418,-1.4189385332337403,1.699989047821873,Biliary/ductular,emt_ecm,powerlaw,naive
7435_liver_sham_Male_10-U1,49.99999999999999,0.022301500377292807,4208,-5964.534407196697,-1.4174273781360973,0.9995026430809216,0.9969789868877798,-5970.893347848409,-1.4189385332339375,6.358940651711237,Biliary/ductular,emt_ecm,powerlaw,naive
7259_liver_sbr_Male_26-U1,12.818224546846722,-0.01036229215035223,31155,-43124.7922265805,-1.384201323273327,0.8702613811553427,0.9307601637427205,-43121.820761406096,-1.3841059464421792,-2.971465174407058,Biliary/ductular,emt_ecm,step,ctrl
7260_liver_sbr_Male_26-U1,7.742591489922676,-0.010873953731332032,27623,-38097.224637411084,-1.3791849052387894,0.8784582800236314,0.9224695417586338,-38094.999272656336,-1.3791043432160277,-2.225364754747716,Biliary/ductular,emt_ecm,step,ctrl
7001_liver_sham_Male_52-U1,6.999999999999999,-0.005754686075551174,21796,-29112.401899994984,-1.335676358047118,0.9016870581882763,0.8448256802320426,-29114.106084820538,-1.3357545460093843,1.7041848255539662,Biliary/ductular,emt_ecm,step,ctrl
