held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7001_liver_sham_Male_52-U1,49.99999999999999,-0.02265814273304516,21796,-29105.967282334765,-1.335381137930573,0.9013843215264286,0.8443124177671788,-29114.106084820538,-1.3357545460093843,8.13880248577334,Biliary/ductular,emt_ecm,sup,ctrl,6
7248_liver_sham_Male_26-U1,42.98209161773131,-0.02101329225416668,7958,-10766.310788969584,-1.3528915291492314,0.8891047489821816,0.8761606284446445,-10773.088329073635,-1.353743192896913,6.777540104050786,Biliary/ductular,emt_ecm,sup,ctrl,6
7352_liver_sham_Male_2-U1,40.868941774896264,-0.021338437109414316,3895,-5222.1315906455575,-1.3407269809102844,0.889129675799243,0.854521958928061,-5227.472329660302,-1.3420981590912202,5.3407390147449405,Biliary/ductular,emt_ecm,sup,ctrl,6
7435_liver_sham_Male_10-U1,47.54182525407475,-0.02570292663558719,4208,-5623.3405003852395,-1.3363451759470626,0.8895822391496179,0.8467056509589259,-5622.572359269729,-1.3361626329063043,-0.7681411155108435,Biliary/ductular,emt_ecm,sup,ctrl,6
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0229135642337481,31155,-44194.656654617334,-1.4185413787391217,0.9994749685741061,0.9992059568789998,-44207.030003808155,-1.4189385332629805,12.37334919082059,Biliary/ductular,emt_ecm,near,naive,6
7260_liver_sbr_Male_26-U1,27.304873519796445,0.02411660400014597,27623,-39186.58991429814,-1.4186217975707975,0.9994183894115001,0.9993667248073831,-39195.339104162675,-1.4189385332571651,8.749189864531218,Biliary/ductular,emt_ecm,near,naive,6
7001_liver_sham_Male_52-U1,49.99999999999999,0.030253447492257605,21796,-30933.144614880854,-1.4192119937089767,0.9990847289148331,1.000546059215424,-30927.184270701942,-1.4189385332493092,-5.960344178911328,Biliary/ductular,emt_ecm,near,naive,6
7248_liver_sham_Male_26-U1,49.99999999999999,0.02514523751789311,7958,-11290.220791124979,-1.4187259099176903,0.9993677170301688,0.9995748288039996,-11291.912847495789,-1.418938533236465,1.6920563708099507,Biliary/ductular,emt_ecm,near,naive,6
7352_liver_sham_Male_2-U1,49.99999999999999,0.02459283918826077,3895,-5525.080281205118,-1.4185058488331497,0.9993951922606604,0.9991349627646411,-5526.765586945418,-1.4189385332337403,1.685305740300464,Biliary/ductular,emt_ecm,near,naive,6
7435_liver_sham_Male_10-U1,49.99999999999999,0.02233728598529836,4208,-5964.511728928176,-1.41742198881373,0.999501045654811,0.996968217355341,-5970.893347848409,-1.4189385332339375,6.38161892023254,Biliary/ductular,emt_ecm,near,naive,6
7259_liver_sbr_Male_26-U1,9.962242533302096,0.012982874158918703,31155,-44197.272438688975,-1.4186253390688164,0.9998314449785739,0.9993736810809051,-44207.030003808155,-1.4189385332629805,9.757565119180072,Biliary/ductular,emt_ecm,sup,naive,6
