section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,density_50um,technical,0.7460991559348771,-6.025548324897566e-06,1090.1477453432658,0.0,1090.1338462598437,0.0,,-1.5782893216514925e-15,10.619973647237442,0.9998071836154278
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,unassigned_codeword,technical,0.2410779727926011,-6.025548324897566e-06,352.2744863688743,0.0,352.24768960944755,0.0,,2.7400856278671743e-17,1.0281847934734953,0.3144533956772977
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,neg_control_probe,control,0.005457797595276852,-6.025548324897566e-06,16.04303863113598,6.394744437642338e-58,16.036033303445784,7.158296970735409e-58,,0.007616247190605022,0.08824516658727662,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,neg_control_codeword,control,0.04256695475520771,-6.025548324897566e-06,124.96225713529631,0.0,124.94945609172001,0.0,,0.046697718138598826,0.22742812849917163,0.04340778857683432
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,genomic_control,control,0.001318272219395163,-6.025548324897566e-06,3.8884395858766783,0.00010089077590694207,3.8867442354363475,0.00010159770115741046,,0.010104783653990998,0.10518159114809286,0.00960466615650665
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,all_controls,control,0.044399548711290864,-6.025548324897566e-06,130.33842161917806,0.0,130.32802288260459,0.0,,0.06441874898319484,0.2701979018579551,0.05871861461427685
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,neg_probe_rate,control,0.0009007425887841798,-6.025548324897566e-06,2.6725535372268237,0.007527636170994458,2.661316748916448,0.007783569665030771,,6.324422050260599e-06,9.617708774889072e-05,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,downstream_arrest,module,0.02492397734357126,-6.025548324897566e-06,73.16935420962918,0.0,73.16824613871248,0.0,,0.01129811980051874,0.02440770029195408,0.6771530660817903
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,emt_ecm,module,0.08409472589352855,-6.025548324897566e-06,246.83302588421836,0.0,246.83127830476474,0.0,,0.04508752562719652,0.06331401108994869,0.7672947258693308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,il6_jak_stat3,module,0.04249851387012052,-6.025548324897566e-06,124.7492901171842,0.0,124.74858569680967,0.0,,-0.0029889260104140436,0.047770208894256684,0.3838793451473539
