gene_name,gene_id,feature_type
BMP2K,ENSG00000138756,Gene Expression
BMP4,ENSG00000125378,Gene Expression
BMP5,ENSG00000112175,Gene Expression
BMP6,ENSG00000153162,Gene Expression
BMP7,ENSG00000101144,Gene Expression
BMP8A,ENSG00000183682,Gene Expression
BMP8B,ENSG00000116985,Gene Expression
BMPER,ENSG00000164619,Gene Expression
BMPR1A,ENSG00000107779,Gene Expression
BMPR1B,ENSG00000138696,Gene Expression
BMPR2,ENSG00000204217,Gene Expression
BNC1,ENSG00000169594,Gene Expression
BNC2,ENSG00000173068,Gene Expression
BNIP3,ENSG00000176171,Gene Expression
BOLL,ENSG00000152430,Gene Expression
BRAF,ENSG00000157764,Gene Expression
BRCA1,ENSG00000012048,Gene Expression
BRCA2,ENSG00000139618,Gene Expression
BRD3,ENSG00000169925,Gene Expression
BRD4,ENSG00000141867,Gene Expression
BRDT,ENSG00000137948,Gene Expression
BRI3BP,ENSG00000184992,Gene Expression
BRINP1,ENSG00000078725,Gene Expression
BRIP1,ENSG00000136492,Gene Expression
BRIX1,ENSG00000113460,Gene Expression
BRSK2,ENSG00000174672,Gene Expression
BSDC1,ENSG00000160058,Gene Expression
BST1,ENSG00000109743,Gene Expression
BTAF1,ENSG00000095564,Gene Expression
BTBD9,ENSG00000183826,Gene Expression
BTK,ENSG00000010671,Gene Expression
BTLA,ENSG00000186265,Gene Expression
BTN3A1,ENSG00000026950,Gene Expression
BTNL2,ENSG00000204290,Gene Expression
BTRC,ENSG00000166167,Gene Expression
BUB1,ENSG00000169679,Gene Expression
BUB1B,ENSG00000156970,Gene Expression
BVES,ENSG00000112276,Gene Expression
C15orf48,ENSG00000166920,Gene Expression
C1QA,ENSG00000173372,Gene Expression
C1QB,ENSG00000173369,Gene Expression
C1QBP,ENSG00000108561,Gene Expression
C1QL3,ENSG00000165985,Gene Expression
C1QTNF1,ENSG00000173918,Gene Expression
C1QTNF6,ENSG00000133466,Gene Expression
C1QTNF9,ENSG00000240654,Gene Expression
C1RL,ENSG00000139178,Gene Expression
C3AR1,ENSG00000171860,Gene Expression
C4A,ENSG00000244731,Gene Expression
C4B,ENSG00000224389,Gene Expression
C5,ENSG00000106804,Gene Expression
C5AR1,ENSG00000197405,Gene Expression
C6,ENSG00000039537,Gene Expression
C7,ENSG00000112936,Gene Expression
C8B,ENSG00000021852,Gene Expression
C8G,ENSG00000176919,Gene Expression
C9,ENSG00000113600,Gene Expression
CA10,ENSG00000154975,Gene Expression
CA12,ENSG00000074410,Gene Expression
CA14,ENSG00000118298,Gene Expression
CA4,ENSG00000167434,Gene Expression
CA9,ENSG00000107159,Gene Expression
CABCOCO1,ENSG00000183346,Gene Expression
CABP4,ENSG00000175544,Gene Expression
CABYR,ENSG00000154040,Gene Expression
CACNA1B,ENSG00000148408,Gene Expression
CACNA1C,ENSG00000151067,Gene Expression
CACNA1D,ENSG00000157388,Gene Expression
CACNA1G,ENSG00000006283,Gene Expression
CACNA1H,ENSG00000196557,Gene Expression
CACNA2D1,ENSG00000153956,Gene Expression
CACNG3,ENSG00000006116,Gene Expression
CACNG4,ENSG00000075461,Gene Expression
CACNG5,ENSG00000075429,Gene Expression
CACUL1,ENSG00000151893,Gene Expression
CACYBP,ENSG00000116161,Gene Expression
