panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,65.0,70.0,1389.0,-0.0083178761556983,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,70.0,75.0,1136.0,-0.0078792253283525,,,0.0004969156424863
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,70.0,75.0,1041.0,-0.0087254562562386,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,75.0,80.0,891.0,-0.0092784287247286,,,0.0005377626800975
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,75.0,80.0,739.0,-0.0079323003982274,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,80.0,85.0,632.0,-0.0083929430405688,,,0.0006734046077211
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,80.0,85.0,511.0,-0.0085346379715157,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,85.0,90.0,453.0,-0.0090332891734863,,,0.0008334107313193
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,85.0,90.0,354.0,-0.0083664406289439,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,90.0,95.0,324.0,-0.0096667901501141,,,0.000840368956435
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,90.0,95.0,257.0,-0.00838466925911,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,95.0,100.0,263.0,-0.0102658174907685,,,0.0009422772352747
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,95.0,100.0,584.0,-0.011091900713176,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,0.0,5.0,,-0.006994049390753,-0.0083756838617283,-0.0054510449737621,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,5.0,10.0,,-0.0069980187706286,-0.0079321788905684,-0.0059985858011809,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,10.0,15.0,,-0.0069887882934173,-0.0078563351978196,-0.0061375011081854,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,15.0,20.0,,-0.0069937079337318,-0.0077707359549878,-0.00621029269981,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,20.0,25.0,,-0.0069957412568454,-0.0076925130651959,-0.0062205046312936,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,25.0,30.0,,-0.0069928952412115,-0.0076745344863775,-0.0062584563631806,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,30.0,35.0,,-0.0069766906212442,-0.0076649446125258,-0.0062339963558127,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,35.0,40.0,,-0.0069682350378165,-0.0076514941187179,-0.0062265101476595,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,40.0,45.0,,-0.0069751283528323,-0.0077089079997238,-0.0061858595386619,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,45.0,50.0,,-0.0069701735990316,-0.0076832337887122,-0.0061221332835078,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,50.0,55.0,,-0.0069944454639775,-0.0077441074248821,-0.0061981987062497,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,55.0,60.0,,-0.0070043293066465,-0.0078476775280964,-0.0060845416178733,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,60.0,65.0,,-0.0070181913366263,-0.0080385948085153,-0.0060475227406334,
