section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.08,4.48,0.223
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q2,19.92,7.79,0.391
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q3,20.07,11.56,0.576
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q4,19.92,18.34,0.92
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,20.0,57.82,2.892
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.34,33.82,1.014
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,37.09,1.113
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.34,29.09,0.873
7260_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q1_low,20.01,33.25,1.662
7260_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q2,20.01,27.84,1.391
7260_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q3,20.0,22.42,1.121
7260_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q4,19.99,12.39,0.62
7260_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q5_high,19.98,4.1,0.205
7260_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.33,26.45,0.794
7260_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,27.94,0.838
7260_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.33,45.61,1.368
7260_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q1_low,20.01,3.57,0.179
7260_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q2,20.01,8.31,0.415
7260_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q3,20.0,13.5,0.675
7260_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q4,19.99,24.4,1.221
7260_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q5_high,19.98,50.22,2.513
7260_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.33,39.06,1.172
7260_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,36.77,1.103
7260_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.33,24.17,0.725
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.01,13.44,0.672
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q2,20.01,14.92,0.746
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q3,20.0,15.51,0.775
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q4,19.99,17.73,0.887
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q5_high,19.98,38.4,1.922
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.33,30.94,0.928
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,34.07,1.022
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.33,35.0,1.05
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.01,0.84,0.042
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q2,20.01,3.04,0.152
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q3,20.0,5.09,0.254
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q4,19.99,11.73,0.587
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,19.98,79.3,3.968
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,34.5,1.035
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,42.38,1.272
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,23.12,0.694
7352_liver_sham_Male_2-U1,sham,tierA_score,depth_quintile,Q1_low,20.05,35.99,1.795
7352_liver_sham_Male_2-U1,sham,tierA_score,depth_quintile,Q2,19.99,27.87,1.394
7352_liver_sham_Male_2-U1,sham,tierA_score,depth_quintile,Q3,19.97,18.06,0.904
7352_liver_sham_Male_2-U1,sham,tierA_score,depth_quintile,Q4,20.0,12.18,0.609
7352_liver_sham_Male_2-U1,sham,tierA_score,depth_quintile,Q5_high,19.99,5.9,0.295
7352_liver_sham_Male_2-U1,sham,tierA_score,zonation_hepatocyte,periportal,33.33,28.67,0.86
7352_liver_sham_Male_2-U1,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,32.58,0.978
7352_liver_sham_Male_2-U1,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,38.74,1.162
7352_liver_sham_Male_2-U1,sham,senepy_score,depth_quintile,Q1_low,20.05,10.55,0.526
7352_liver_sham_Male_2-U1,sham,senepy_score,depth_quintile,Q2,19.99,18.63,0.932
7352_liver_sham_Male_2-U1,sham,senepy_score,depth_quintile,Q3,19.97,22.21,1.112
7352_liver_sham_Male_2-U1,sham,senepy_score,depth_quintile,Q4,20.0,21.18,1.059
7352_liver_sham_Male_2-U1,sham,senepy_score,depth_quintile,Q5_high,19.99,27.43,1.373
7352_liver_sham_Male_2-U1,sham,senepy_score,zonation_hepatocyte,periportal,33.33,33.29,0.999
7352_liver_sham_Male_2-U1,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,44.71,1.341
7352_liver_sham_Male_2-U1,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,22.0,0.66
7352_liver_sham_Male_2-U1,sham,deepscence_score,depth_quintile,Q1_low,20.05,11.86,0.592
7352_liver_sham_Male_2-U1,sham,deepscence_score,depth_quintile,Q2,19.99,20.25,1.013
7352_liver_sham_Male_2-U1,sham,deepscence_score,depth_quintile,Q3,19.97,23.52,1.177
7352_liver_sham_Male_2-U1,sham,deepscence_score,depth_quintile,Q4,20.0,24.51,1.226
7352_liver_sham_Male_2-U1,sham,deepscence_score,depth_quintile,Q5_high,19.99,19.86,0.993
7352_liver_sham_Male_2-U1,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,18.66,0.56
7352_liver_sham_Male_2-U1,sham,deepscence_score,zonation_hepatocyte,midzonal,33.33,35.48,1.064
7352_liver_sham_Male_2-U1,sham,deepscence_score,zonation_hepatocyte,pericentral,33.33,45.87,1.376
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,depth_quintile,Q1_low,20.05,3.75,0.187
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,depth_quintile,Q2,19.99,11.75,0.588
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,depth_quintile,Q3,19.97,14.91,0.746
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,depth_quintile,Q4,20.0,21.82,1.091
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,depth_quintile,Q5_high,19.99,47.78,2.39
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,32.14,0.964
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,36.88,1.106
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,30.99,0.93
7361_liver_sbr_Male_2-U1,SBR,tierA_score,depth_quintile,Q1_low,20.02,29.47,1.472
7361_liver_sbr_Male_2-U1,SBR,tierA_score,depth_quintile,Q2,20.03,24.3,1.213
7361_liver_sbr_Male_2-U1,SBR,tierA_score,depth_quintile,Q3,19.95,19.98,1.002
7361_liver_sbr_Male_2-U1,SBR,tierA_score,depth_quintile,Q4,20.01,16.63,0.831
7361_liver_sbr_Male_2-U1,SBR,tierA_score,depth_quintile,Q5_high,19.99,9.62,0.481
7361_liver_sbr_Male_2-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.33,10.92,0.328
7361_liver_sbr_Male_2-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,24.82,0.744
7361_liver_sbr_Male_2-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.33,64.26,1.928
7361_liver_sbr_Male_2-U1,SBR,senepy_score,depth_quintile,Q1_low,20.02,3.59,0.179
7361_liver_sbr_Male_2-U1,SBR,senepy_score,depth_quintile,Q2,20.03,10.97,0.548
7361_liver_sbr_Male_2-U1,SBR,senepy_score,depth_quintile,Q3,19.95,20.32,1.019
7361_liver_sbr_Male_2-U1,SBR,senepy_score,depth_quintile,Q4,20.01,29.47,1.473
7361_liver_sbr_Male_2-U1,SBR,senepy_score,depth_quintile,Q5_high,19.99,35.65,1.783
7361_liver_sbr_Male_2-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.33,13.14,0.394
7361_liver_sbr_Male_2-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,42.04,1.261
7361_liver_sbr_Male_2-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.33,44.82,1.345
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.02,14.42,0.72
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,depth_quintile,Q2,20.03,15.88,0.793
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,depth_quintile,Q3,19.95,21.28,1.067
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,depth_quintile,Q4,20.01,25.42,1.271
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,depth_quintile,Q5_high,19.99,23.0,1.15
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.33,11.44,0.343
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,31.84,0.955
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.33,56.72,1.701
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.02,2.52,0.126
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,depth_quintile,Q2,20.03,6.49,0.324
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,depth_quintile,Q3,19.95,11.44,0.574
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,depth_quintile,Q4,20.01,22.77,1.138
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,19.99,56.77,2.84
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,12.43,0.373
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,36.51,1.095
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,51.07,1.532
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q1_low,20.06,41.16,2.052
7435_liver_sham_Male_10-U1,sham,tierA_score,depth_quintile,Q2,19.99,28.56,1.429
