section,arm,week,call,celltype,module,bin_lo,bin_hi,n,mean_obs,sem_obs,n_decoy,mean_decoy
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,5.0,10.0,4610.0,0.04624390889951541,0.00031825717624048836,4261.0,0.04677939213314642
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,10.0,15.0,4302.0,0.04622625524759832,0.0003301432398734032,4182.0,0.04653415830600786
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,15.0,20.0,4053.0,0.04641973354132183,0.00033139193648390263,4079.0,0.04661715864074298
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,20.0,25.0,3950.0,0.046376989866791826,0.0003380831766477544,3720.0,0.046577814520754546
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,25.0,30.0,3396.0,0.04636424025374306,0.0003637241953011838,3250.0,0.04646067691603317
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,30.0,35.0,2844.0,0.04682180729205599,0.0003933967910336309,2655.0,0.04618842185976658
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,35.0,40.0,2208.0,0.04606403084346602,0.0004448748102606063,2101.0,0.046395130896054716
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,40.0,45.0,1663.0,0.04650791341931572,0.0005051074286397405,1531.0,0.04653301764355491
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,45.0,50.0,1141.0,0.046154793998581634,0.0006165644676346146,1055.0,0.04615695730568422
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,50.0,55.0,815.0,0.04688180371218338,0.0007398356846586299,779.0,0.045699768947368366
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,55.0,60.0,564.0,0.04747081570288477,0.0008620893560876131,501.0,0.04555073848641115
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,60.0,65.0,351.0,0.04677150998943806,0.001012414838764745,299.0,0.04754866225634044
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,65.0,70.0,231.0,0.048203203294958384,0.001370048468336262,189.0,0.04656031755385576
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,70.0,75.0,137.0,0.04589583946011253,0.0016649153688304374,124.0,0.04295177416028192
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,75.0,80.0,74.0,0.04712054067970933,0.0021888465446828036,81.0,0.04596654298703796
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,80.0,85.0,39.0,0.045729230653542355,0.0033797348393632986,54.0,0.045083148332869985
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,85.0,90.0,30.0,0.04746199989070495,0.003543554043971174,32.0,0.048455312942678574
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,90.0,95.0,30.0,0.04489500011938314,0.003888543380073473,16.0,0.04543937568087131
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,95.0,100.0,18.0,0.04825277833475007,0.005552857181428757,31.0,0.048991612789611665
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,0.0,5.0,679.0,0.02237823273368518,0.0010268036931286556,2195.0,0.023883293858276637
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,5.0,10.0,4610.0,0.024141067224665358,0.0003830243750163791,4261.0,0.024800070408520662
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,10.0,15.0,4302.0,0.02401564853483626,0.0003930481680262756,4182.0,0.024108113343373993
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,15.0,20.0,4053.0,0.02408489265995559,0.00040729130665611565,4079.0,0.023797668535838073
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,20.0,25.0,3950.0,0.024118349383240884,0.0004109278379209953,3720.0,0.023777381709321838
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,25.0,30.0,3396.0,0.023487765019898903,0.00044864328608693917,3250.0,0.02323681231748644
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,30.0,35.0,2844.0,0.023040569638785716,0.00047132814300954927,2655.0,0.02353647458639727
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,35.0,40.0,2208.0,0.022964293466040966,0.0005361011293773396,2101.0,0.02231725844059166
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,40.0,45.0,1663.0,0.022104545985975926,0.0006074176234346449,1531.0,0.022024239054965058
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,45.0,50.0,1141.0,0.022530920271467796,0.0007437244834302072,1055.0,0.02328453085257882
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,50.0,55.0,815.0,0.022961349647258805,0.0008547423522759454,779.0,0.02237189981646743
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,55.0,60.0,564.0,0.02372930854830271,0.0010939591623382234,501.0,0.021840618766466736
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,60.0,65.0,351.0,0.023762991528294666,0.0013097529539950255,299.0,0.02185080265824879
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,65.0,70.0,231.0,0.024090995689996647,0.001751029695275326,189.0,0.02356947093916239
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,70.0,75.0,137.0,0.021568540146788513,0.0019937322435827094,124.0,0.019683064564765852
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,75.0,80.0,74.0,0.018313378385878546,0.0028638337704813147,81.0,0.021302716010127988
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,80.0,85.0,39.0,0.021839230881036762,0.0033245084706735074,54.0,0.018502592617921806
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,85.0,90.0,30.0,0.020537333679385483,0.004108415276605559,32.0,0.021447812590849935
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,90.0,95.0,30.0,0.02087400001861776,0.005058094029979471,16.0,0.022373124782461673
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,95.0,100.0,18.0,0.017487222121821508,0.005305867602789821,31.0,0.02197548425230648
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,0.0,5.0,47.0,0.019217233814452676,0.003810703149159305,189.0,0.01259243386648546
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,5.0,10.0,468.0,0.016506538469103462,0.0012522375692884198,426.0,0.0138452347301596
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,10.0,15.0,425.0,0.01646265879739076,0.0012203774646514327,439.0,0.015563348476679657
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,15.0,20.0,376.0,0.01631273932985386,0.0012596888157479444,338.0,0.01768245562393881
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,20.0,25.0,294.0,0.014766802724665047,0.0014394569672061058,304.0,0.016142236842250367
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,25.0,30.0,263.0,0.017229999994443898,0.0016060754670818784,256.0,0.016145156296133223
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,30.0,35.0,218.0,0.014557660520482603,0.00170666647367501,208.0,0.018018028793204185
