true_family,true_superposition,regime,rep,n,true_d_half,fit_family,fit_mode,lam,d_half,aic,beta,rss,k_params
exponential,False,clean,13,11296,20.8,powerlaw,nearest,21.098879464755743,38.800000000000004,1683.1746673056357,2.0397774403402846,13092.486369966226,7
exponential,False,clean,13,11296,20.8,step,nearest,38.92103695602845,39.0,1810.9447804703948,0.32978333030157453,13243.76205833084,6
exponential,False,clean,13,11296,20.8,spline,nearest,,234.9,1684.3391291602793,,13084.566122295206,11
exponential,False,clean,13,11296,20.8,exponential,superposition,16.563928731234586,,1758.907753559685,0.8596369776671711,13182.892630688342,6
exponential,False,clean,14,11286,20.8,exponential,nearest,37.602674830722236,26.200000000000003,1748.058530408977,1.2366697586294582,13160.367954989688,6
exponential,False,clean,14,11286,20.8,gaussian,nearest,27.218153013012714,32.2,1761.1790653205994,0.7722675870871352,13175.676432346621,6
exponential,False,clean,14,11286,20.8,powerlaw,nearest,16.01537189525354,31.200000000000003,1748.0613827945904,2.1970272520631564,13158.039329073303,7
exponential,False,clean,14,11286,20.8,step,nearest,33.321614053498976,33.4,1886.7822732383252,0.3974666066182996,13323.129056064556,6
exponential,False,clean,14,11286,20.8,spline,nearest,,230.3,1751.3608704180463,,13152.56027106927,11
exponential,False,clean,14,11286,20.8,exponential,superposition,14.18093873026609,,1862.8455953917864,1.106820992513148,13294.901739512034,6
exponential,False,confounded,0,11118,20.8,exponential,nearest,26.170361872298884,18.2,5924.793098318682,1.8563488383153364,18919.765655766398,6
exponential,False,confounded,0,11118,20.8,gaussian,nearest,25.946187766824533,30.6,5934.534955438296,1.1977245568726662,18936.350871394912,6
exponential,False,confounded,0,11118,20.8,powerlaw,nearest,131.21464791787088,16.2,5925.949958402058,2.0092475390064495,18918.330918872358,7
exponential,False,confounded,0,11118,20.8,step,nearest,36.012661273651375,36.2,6024.044040690144,0.7965604390197184,19089.419477973686,6
exponential,False,confounded,0,11118,20.8,spline,nearest,,17.900000000000002,5907.127191591958,,18872.744450511338,11
exponential,False,confounded,0,11118,20.8,exponential,superposition,16.563928731234586,,6076.390770682372,0.6162364838424177,19179.509854398908,6
exponential,False,confounded,1,11153,20.8,exponential,nearest,25.944524873408508,18.0,6015.939943023669,1.4942631510813589,19103.170294310774,6
exponential,False,confounded,1,11153,20.8,gaussian,nearest,27.52004733895752,32.6,6011.0691405718435,0.9413127970022177,19094.829269161874,6
exponential,False,confounded,1,11153,20.8,powerlaw,nearest,128.1226231669317,15.8,6021.282061616286,1.6884927833790337,19108.895626285128,7
exponential,False,confounded,1,11153,20.8,step,nearest,36.012661273651375,36.2,6054.291750814139,0.6693437181493245,19168.973416922927,6
exponential,False,confounded,1,11153,20.8,spline,nearest,,27.900000000000002,6007.831757965017,,19072.1792541224,11
exponential,False,confounded,1,11153,20.8,exponential,superposition,14.18093873026609,,6144.51124977303,0.5666899597253473,19324.665062183718,6
exponential,False,confounded,2,11217,20.8,exponential,nearest,18.26563461531388,12.8,5813.886894925262,2.207327413545355,18811.957450873513,6
exponential,False,confounded,2,11217,20.8,gaussian,nearest,20.247428515403694,24.0,5814.140132850583,1.2453681564195487,18812.382159338526,6
exponential,False,confounded,2,11217,20.8,powerlaw,nearest,35.50068800366169,9.4,5813.818132220271,2.7307680210232994,18808.488262373197,7
exponential,False,confounded,2,11217,20.8,step,nearest,33.321614053498976,33.4,5880.000681438991,0.7393352271867469,18923.163857746982,6
exponential,False,confounded,2,11217,20.8,spline,nearest,,17.400000000000002,5768.629589882402,,18719.513671142235,11
exponential,False,confounded,2,11217,20.8,exponential,superposition,15.32618864787106,,5840.587932948647,0.6961066373701126,18856.790927195387,6
exponential,False,confounded,3,11134,20.8,exponential,nearest,37.777299925626814,26.200000000000003,5519.405386692588,1.3887679932126205,18255.59066142158,6
exponential,False,confounded,3,11134,20.8,gaussian,nearest,35.124124717929504,41.400000000000006,5533.926097005772,0.9359598886852322,18279.414720800545,6
exponential,False,confounded,3,11134,20.8,powerlaw,nearest,3.0000000000000004,7.6000000000000005,5506.644149357449,3.330591436648949,18231.403796595347,7
exponential,False,confounded,3,11134,20.8,step,nearest,49.13285054333422,49.2,5601.57025316082,0.6243032763506756,18390.808590118828,6
