gene,corr_zonation,detection_rate
Asb9,-0.00047063307,0.00016884405141301366
Ascc2,0.0042602434,0.043568800433366396
Ascl1,-0.00042726382,9.14571945153824e-05
Ascl2,-0.0015352971,0.0001829143890307648
Asf1a,0.0044257757,0.024538668805357985
Ash1l,0.0011676915,0.151467184455091
Ash2l,0.006708304,0.0683607353158439
Asic1,0.0020646562,0.00021809023307514265
Asic3,-0.0011011628,0.0009497477891982018
Asna1,0.006998918,0.11354058940644281
Aspa,-0.013133283,0.03246026888415188
Asph,-0.048734885,0.19939778954996026
Asxl3,-0.0030249963,0.00017587922022188921
Atad3a,0.00041918003,0.0726240476140225
Atf1,0.0050538494,0.10209436975440225
Atf2,0.00845168,0.06117079279317307
Atf4,-0.0009574824,0.3908176976706556
Atf5,-0.12952514,0.7512716067622043
Atf6,-0.0066176564,0.07403108137579761
Atf6b,-0.009507594,0.06126224998768846
Atg101,0.0066702124,0.10133457152304369
Atg13,0.010632477,0.16725410326220777
Atg14,0.008588981,0.04864115714456568
Atg16l1,0.01093785,0.06710144009905518
Atg3,-0.012902063,0.23873141836038356
Atg5,0.0053779515,0.13684106850143868
Atg7,0.024926404,0.09947728695750055
Atg9a,0.007351045,0.09252654017433148
Atl1,0.010229368,0.004741703777182134
Atm,-0.005587474,0.013753755021351738
Atn1,-0.0009923237,0.11128933538760262
Atoh1,0.0026508116,0.0001547737137952625
Atoh7,0.0010530878,0.0001618088826041381
Atp1b2,-0.013152893,0.0059939638251619845
Atp2a2,-0.07813058,0.513426619671739
Atp2a3,-0.004458302,0.009736673631483787
Atp2b2,-0.056068085,0.010693456589490865
Atp2b3,-4.83689e-05,0.00016884405141301366
Atp2b4,-0.02696077,0.017285409763407273
Atp4a,-0.0124710305,0.0014492447746283672
Atp4b,-0.0014665499,9.14571945153824e-05
Atp5f1,-0.04497601,0.5544486889962925
Atp5o,-0.04257206,0.47311510239688204
Atp6ap2,-0.012988816,0.1218631941073426
Atp6v0a1,0.020339768,0.08278283137403881
Atp6v0d2,0.06226132,0.007372856911701597
Atp6v1a,-0.005389541,0.15295160507376374
Atp6v1b2,-0.0072987913,0.10595667743047495
Atp7a,-0.0072740656,0.030680371175506357
Atp7b,-0.04228883,0.0581104943613122
Atr,0.010684976,0.02069043146690305
Atraid,-0.006141106,0.15778476604546127
Atrx,-0.026304321,0.07071048169800834
Atxn1,-0.0030685626,0.029111528531127105
Atxn10,0.0126656275,0.1993274378618715
Atxn3,0.0013964926,0.04608739086694385
Aurka,0.00047967362,0.0028422081987857298
Aurkb,0.0009059821,0.007949740754029393
Avil,-0.00035549505,0.0037145691310863003
Avpr1b,-0.0006206723,0.0001336682073686358
Avpr2,-0.0005946425,0.00018994955783964036
Axin1,0.004885097,0.038257247982665346
Axin2,0.21484016,0.04396980505547231
Axl,-0.046925165,0.04833160971697516
Azi2,0.001678705,0.1543164278226856
Azin2,-0.0031073508,0.0002251254018840182
B3glct,-0.0009051075,0.004347734323885102
B3gnt2,-0.008239629,0.07977881429264895
B3gnt6,-0.0032213135,0.0003306529340171517
B4galnt1,-0.07309766,0.3413182499314071
B4galnt2,0.00641126,0.000865325763491695
B9d2,-0.004109517,0.011340692119907417
Babam2,0.0028429767,0.07143510408532253
Bace1,-0.009020254,0.04589040614029534
Bace2,-0.0077504455,0.016884405141301365
Bach1,0.020288449,0.13926820174050075
