gene,mean_lognorm_expr,bin
Crtc1,5.6e-05,0
Crtc2,0.028119,12
Crx,5.9e-05,0
Crxos,0.000179,2
Cry1,0.026802,12
Cry2,0.037091,13
Cryaa,0.00013,2
Cryab,0.047832,14
Cryba2,5.8e-05,0
Cryba4,0.000621,4
Crybb3,0.001908,6
Crygb,0.000161,2
Crygc,8.7e-05,1
Crygd,9.7e-05,1
Cryge,0.000116,1
Crygf,6.8e-05,0
Crygs,0.000343,4
Crym,0.001577,5
Cs,0.122441,18
Csde1,0.416958,19
Cse1l,0.015776,10
Csf1,0.05514,15
Csf1r,0.117239,18
Csf2,0.000277,3
Csf2rb,0.014912,10
Csf2rb2,0.009215,9
Csf3,0.00012,2
Csf3r,0.012502,10
Csk,0.038059,13
Csnk1a1,0.07098,16
Csnk1d,0.140397,18
Csnk1e,0.030706,13
Csnk2a1,0.071328,16
Csnk2a2,0.041427,14
Cspg4,0.00078,5
Cspg5,0.003529,7
Cst7,0.002538,6
Csta1,0.00015,2
Ctbp1,0.064508,16
Ctbp2,0.024748,12
Ctcf,0.056371,15
Ctdsp1,0.286464,19
Ctdspl2,0.016029,10
Cth,0.267429,19
Ctla4,0.000363,4
Ctnna1,0.095243,17
Ctnna3,0.0003,3
Ctnnal1,0.01166,9
Ctnnb1,0.207069,19
Ctnnbip1,0.020039,11
Ctnnd1,0.175133,18
Ctr9,0.024323,12
Ctsk,0.006495,8
Ctsl,0.225317,19
Ctsq,7.6e-05,1
