gene_name,gene_id,feature_type,id_class
ATG10,ENSG00000152348,Gene Expression,ENSG
ATG16L1,ENSG00000085978,Gene Expression,ENSG
ATG2A,ENSG00000110046,Gene Expression,ENSG
ATG5,ENSG00000057663,Gene Expression,ENSG
ATG7,ENSG00000197548,Gene Expression,ENSG
ATIC,ENSG00000138363,Gene Expression,ENSG
ATL1,ENSG00000198513,Gene Expression,ENSG
ATL2,ENSG00000119787,Gene Expression,ENSG
ATL3,ENSG00000184743,Gene Expression,ENSG
ATM,ENSG00000149311,Gene Expression,ENSG
ATOH1,ENSG00000172238,Gene Expression,ENSG
ATOH7,ENSG00000179774,Gene Expression,ENSG
ATOH8,ENSG00000168874,Gene Expression,ENSG
ATP10D,ENSG00000145246,Gene Expression,ENSG
ATP13A2,ENSG00000159363,Gene Expression,ENSG
ATP1A1,ENSG00000163399,Gene Expression,ENSG
ATP2A2,ENSG00000174437,Gene Expression,ENSG
ATP2B1,ENSG00000070961,Gene Expression,ENSG
ATP5F1A,ENSG00000152234,Gene Expression,ENSG
ATP5F1C,ENSG00000165629,Gene Expression,ENSG
ATP6V0D2,ENSG00000147614,Gene Expression,ENSG
ATP6V1B1,ENSG00000116039,Gene Expression,ENSG
ATP6V1G3,ENSG00000151418,Gene Expression,ENSG
ATP6V1H,ENSG00000047249,Gene Expression,ENSG
ATP7A,ENSG00000165240,Gene Expression,ENSG
ATP7B,ENSG00000123191,Gene Expression,ENSG
ATPAF1,ENSG00000123472,Gene Expression,ENSG
ATPSCKMT,ENSG00000150756,Gene Expression,ENSG
ATR,ENSG00000175054,Gene Expression,ENSG
ATRX,ENSG00000085224,Gene Expression,ENSG
ATXN1,ENSG00000124788,Gene Expression,ENSG
ATXN1L,ENSG00000224470,Gene Expression,ENSG
ATXN2,ENSG00000204842,Gene Expression,ENSG
ATXN2L,ENSG00000168488,Gene Expression,ENSG
ATXN3,ENSG00000066427,Gene Expression,ENSG
ATXN7L2,ENSG00000162650,Gene Expression,ENSG
AUNIP,ENSG00000127423,Gene Expression,ENSG
AURKA,ENSG00000087586,Gene Expression,ENSG
AURKB,ENSG00000178999,Gene Expression,ENSG
AURKC,ENSG00000105146,Gene Expression,ENSG
AVPR1A,ENSG00000166148,Gene Expression,ENSG
AVPR1B,ENSG00000198049,Gene Expression,ENSG
AVPR2,ENSG00000126895,Gene Expression,ENSG
AXIN1,ENSG00000103126,Gene Expression,ENSG
AXIN2,ENSG00000168646,Gene Expression,ENSG
AXL,ENSG00000167601,Gene Expression,ENSG
B3GAT1,ENSG00000109956,Gene Expression,ENSG
B4GAT1,ENSG00000174684,Gene Expression,ENSG
BAALC,ENSG00000164929,Gene Expression,ENSG
BAAT,ENSG00000136881,Gene Expression,ENSG
BACE1,ENSG00000186318,Gene Expression,ENSG
BACE2,ENSG00000182240,Gene Expression,ENSG
BACH2,ENSG00000112182,Gene Expression,ENSG
BAD,ENSG00000002330,Gene Expression,ENSG
BAG2,ENSG00000112208,Gene Expression,ENSG
BAG3,ENSG00000151929,Gene Expression,ENSG
BAG6,ENSG00000204463,Gene Expression,ENSG
BAIAP2,ENSG00000175866,Gene Expression,ENSG
BAK1,ENSG00000030110,Gene Expression,ENSG
BANK1,ENSG00000153064,Gene Expression,ENSG
BAP1,ENSG00000163930,Gene Expression,ENSG
BARD1,ENSG00000138376,Gene Expression,ENSG
BARHL2,ENSG00000143032,Gene Expression,ENSG
BARX2,ENSG00000043039,Gene Expression,ENSG
BATF,ENSG00000156127,Gene Expression,ENSG
BATF3,ENSG00000123685,Gene Expression,ENSG
BAX,ENSG00000087088,Gene Expression,ENSG
BAZ2B,ENSG00000123636,Gene Expression,ENSG
BBC3,ENSG00000105327,Gene Expression,ENSG
BCAM,ENSG00000187244,Gene Expression,ENSG
BCAN,ENSG00000132692,Gene Expression,ENSG
BCAR1,ENSG00000050820,Gene Expression,ENSG
BCAR3,ENSG00000137936,Gene Expression,ENSG
BCAR4,ENSG00000262117,Gene Expression,ENSG
BCAS3,ENSG00000141376,Gene Expression,ENSG
BCCIP,ENSG00000107949,Gene Expression,ENSG
BCHE,ENSG00000114200,Gene Expression,ENSG
BCKDK,ENSG00000103507,Gene Expression,ENSG
BCL10,ENSG00000142867,Gene Expression,ENSG
BCL11A,ENSG00000119866,Gene Expression,ENSG
BCL11B,ENSG00000127152,Gene Expression,ENSG
BCL2,ENSG00000171791,Gene Expression,ENSG
BCL2A1,ENSG00000140379,Gene Expression,ENSG
BCL2L1,ENSG00000171552,Gene Expression,ENSG
BCL2L11,ENSG00000153094,Gene Expression,ENSG
BCL2L12,ENSG00000126453,Gene Expression,ENSG
BCL2L13,ENSG00000099968,Gene Expression,ENSG
BCL2L2,ENSG00000129473,Gene Expression,ENSG
BCL3,ENSG00000069399,Gene Expression,ENSG
BCL6,ENSG00000113916,Gene Expression,ENSG
BCL6B,ENSG00000161940,Gene Expression,ENSG
BCL7B,ENSG00000106635,Gene Expression,ENSG
BCL7C,ENSG00000099385,Gene Expression,ENSG
BCOR,ENSG00000183337,Gene Expression,ENSG
BCORL1,ENSG00000085185,Gene Expression,ENSG
BCR,ENSG00000186716,Gene Expression,ENSG
BDKRB1,ENSG00000100739,Gene Expression,ENSG
BDKRB2,ENSG00000168398,Gene Expression,ENSG
BDNF,ENSG00000176697,Gene Expression,ENSG
BEAN1,ENSG00000166546,Gene Expression,ENSG
BECN1,ENSG00000126581,Gene Expression,ENSG
BEX2,ENSG00000133134,Gene Expression,ENSG
BFSP1,ENSG00000125864,Gene Expression,ENSG
BFSP2,ENSG00000170819,Gene Expression,ENSG
BHMT,ENSG00000145692,Gene Expression,ENSG
BICRAL,ENSG00000112624,Gene Expression,ENSG
BID,ENSG00000015475,Gene Expression,ENSG
BIK,ENSG00000100290,Gene Expression,ENSG
BIRC2,ENSG00000110330,Gene Expression,ENSG
BIRC5,ENSG00000089685,Gene Expression,ENSG
BIRC7,ENSG00000101197,Gene Expression,ENSG
BLK,ENSG00000136573,Gene Expression,ENSG
BLM,ENSG00000197299,Gene Expression,ENSG
BLNK,ENSG00000095585,Gene Expression,ENSG
BLOC1S2,ENSG00000196072,Gene Expression,ENSG
BLVRA,ENSG00000106605,Gene Expression,ENSG
BMI1,ENSG00000168283,Gene Expression,ENSG
BMP2,ENSG00000125845,Gene Expression,ENSG
BMP2K,ENSG00000138756,Gene Expression,ENSG
BMP4,ENSG00000125378,Gene Expression,ENSG
BMP5,ENSG00000112175,Gene Expression,ENSG
BMP6,ENSG00000153162,Gene Expression,ENSG
BMP7,ENSG00000101144,Gene Expression,ENSG
BMP8A,ENSG00000183682,Gene Expression,ENSG
BMP8B,ENSG00000116985,Gene Expression,ENSG
BMPER,ENSG00000164619,Gene Expression,ENSG
BMPR1A,ENSG00000107779,Gene Expression,ENSG
BMPR1B,ENSG00000138696,Gene Expression,ENSG
BMPR2,ENSG00000204217,Gene Expression,ENSG
BMX,ENSG00000102010,Gene Expression,ENSG
BNC1,ENSG00000169594,Gene Expression,ENSG
BNC2,ENSG00000173068,Gene Expression,ENSG
BNIP3,ENSG00000176171,Gene Expression,ENSG
BOLL,ENSG00000152430,Gene Expression,ENSG
BRAF,ENSG00000157764,Gene Expression,ENSG
BRCA1,ENSG00000012048,Gene Expression,ENSG
BRCA2,ENSG00000139618,Gene Expression,ENSG
BRD3,ENSG00000169925,Gene Expression,ENSG
BRD4,ENSG00000141867,Gene Expression,ENSG
BRDT,ENSG00000137948,Gene Expression,ENSG
BRI3BP,ENSG00000184992,Gene Expression,ENSG
BRINP1,ENSG00000078725,Gene Expression,ENSG
BRIP1,ENSG00000136492,Gene Expression,ENSG
BRIX1,ENSG00000113460,Gene Expression,ENSG
BRSK2,ENSG00000174672,Gene Expression,ENSG
BSDC1,ENSG00000160058,Gene Expression,ENSG
BST1,ENSG00000109743,Gene Expression,ENSG
BST2,ENSG00000130303,Gene Expression,ENSG
BTAF1,ENSG00000095564,Gene Expression,ENSG
BTBD9,ENSG00000183826,Gene Expression,ENSG
BTK,ENSG00000010671,Gene Expression,ENSG
BTLA,ENSG00000186265,Gene Expression,ENSG
BTN3A1,ENSG00000026950,Gene Expression,ENSG
BTNL2,ENSG00000204290,Gene Expression,ENSG
BTRC,ENSG00000166167,Gene Expression,ENSG
BUB1,ENSG00000169679,Gene Expression,ENSG
BUB1B,ENSG00000156970,Gene Expression,ENSG
BVES,ENSG00000112276,Gene Expression,ENSG
C1QBP,ENSG00000108561,Gene Expression,ENSG
C1QL3,ENSG00000165985,Gene Expression,ENSG
C1QTNF1,ENSG00000173918,Gene Expression,ENSG
C1QTNF6,ENSG00000133466,Gene Expression,ENSG
C1QTNF9,ENSG00000240654,Gene Expression,ENSG
C1RL,ENSG00000139178,Gene Expression,ENSG
C3,ENSG00000125730,Gene Expression,ENSG
C3AR1,ENSG00000171860,Gene Expression,ENSG
C4A,ENSG00000244731,Gene Expression,ENSG
C4B,ENSG00000224389,Gene Expression,ENSG
C5,ENSG00000106804,Gene Expression,ENSG
C5AR1,ENSG00000197405,Gene Expression,ENSG
C6,ENSG00000039537,Gene Expression,ENSG
C8B,ENSG00000021852,Gene Expression,ENSG
C8G,ENSG00000176919,Gene Expression,ENSG
C9,ENSG00000113600,Gene Expression,ENSG
CA10,ENSG00000154975,Gene Expression,ENSG
CA12,ENSG00000074410,Gene Expression,ENSG
CA14,ENSG00000118298,Gene Expression,ENSG
CA4,ENSG00000167434,Gene Expression,ENSG
CA9,ENSG00000107159,Gene Expression,ENSG
CABCOCO1,ENSG00000183346,Gene Expression,ENSG
CABP4,ENSG00000175544,Gene Expression,ENSG
CABYR,ENSG00000154040,Gene Expression,ENSG
CACNA1B,ENSG00000148408,Gene Expression,ENSG
CACNA1C,ENSG00000151067,Gene Expression,ENSG
CACNA1D,ENSG00000157388,Gene Expression,ENSG
CACNA1G,ENSG00000006283,Gene Expression,ENSG
CACNA1H,ENSG00000196557,Gene Expression,ENSG
CACNA2D1,ENSG00000153956,Gene Expression,ENSG
CACNG3,ENSG00000006116,Gene Expression,ENSG
CACNG4,ENSG00000075461,Gene Expression,ENSG
CACNG5,ENSG00000075429,Gene Expression,ENSG
CACUL1,ENSG00000151893,Gene Expression,ENSG
CACYBP,ENSG00000116161,Gene Expression,ENSG
CAD,ENSG00000084774,Gene Expression,ENSG
CADM3,ENSG00000162706,Gene Expression,ENSG
CADM4,ENSG00000105767,Gene Expression,ENSG
CALB1,ENSG00000104327,Gene Expression,ENSG
CALB2,ENSG00000172137,Gene Expression,ENSG
CALCA,ENSG00000110680,Gene Expression,ENSG
CALCB,ENSG00000175868,Gene Expression,ENSG
CALCR,ENSG00000004948,Gene Expression,ENSG
CALCRL,ENSG00000064989,Gene Expression,ENSG
CALD1,ENSG00000122786,Gene Expression,ENSG
CALM1,ENSG00000198668,Gene Expression,ENSG
CALM3,ENSG00000160014,Gene Expression,ENSG
CALML3,ENSG00000178363,Gene Expression,ENSG
CALR3,ENSG00000269058,Gene Expression,ENSG
CAMK1,ENSG00000134072,Gene Expression,ENSG
CAMK2A,ENSG00000070808,Gene Expression,ENSG
