section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN43,fine,Fibroblasts,tierApm_p95__secondary_senescence,21564,1078,20486,4.999,21564,1078,20486,4.999,True,True,True,True
SPLN43,fine,Follicular B cells,tierApm_p95__secondary_senescence,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierApm_p95__secondary_senescence,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierApm_p95__secondary_senescence,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierApm_p95__secondary_senescence,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__secondary_senescence,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__secondary_senescence,13625,682,12943,5.006,13625,682,12943,5.006,True,True,True,True
SPLN43,fine,Endothelial cells,tierApm_p95__tnfa_nfkb_proximal,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierApm_p95__tnfa_nfkb_proximal,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,tierApm_p95__tnfa_nfkb_proximal,21564,1079,20485,5.004,21564,1079,20485,5.004,True,True,True,True
SPLN43,fine,Follicular B cells,tierApm_p95__tnfa_nfkb_proximal,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierApm_p95__tnfa_nfkb_proximal,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierApm_p95__tnfa_nfkb_proximal,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierApm_p95__tnfa_nfkb_proximal,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__tnfa_nfkb_proximal,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__tnfa_nfkb_proximal,13625,680,12945,4.991,13625,680,12945,4.991,True,True,True,True
SPLN43,merged,B cells,tierA_p90,45873,4588,41285,10.002,45873,4588,41285,10.002,True,True,True,True
SPLN43,merged,Endothelial,tierA_p90,56471,5647,50824,10.0,56471,5647,50824,10.0,True,True,True,True
SPLN43,merged,Mono/Mac/DC,tierA_p90,39078,3909,35169,10.003,39078,3909,35169,10.003,True,True,True,True
SPLN43,merged,Neutrophils,tierA_p90,2688,269,2419,10.007,2688,269,2419,10.007,True,True,False,False
SPLN43,merged,Plasma cells,tierA_p90,9861,986,8875,9.999,9861,986,8875,9.999,True,True,True,True
