Level_3_Annotations,section,CD4 T cells,Endothelial cells,Erythroid cells,Fibroblasts,Follicular B cells,Low_quality,Megakaryocytes,Monocytes,NK cells,Neutrophils,Plasma cells,Red pulp macrophages,Smooth muscle / capsule,Unknown,CD8 T cells,Fibroblastic reticular cells,cDC2,Germinal centre B cells,cDC1
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN43,,36,,1171,20,51.0,,,,2.0,0,69,1,84,,64.0,135.0,,
Metamyelocyte/Band Neutrophils DEFA1+,SPLN43,,802,,191,486,297.0,,,,1183.0,108,290,1,764,,16.0,347.0,,
Monocytes,SPLN43,,153,,35,94,76.0,,,,3.0,16,2819,0,223,,6.0,143.0,,
NK cells,SPLN43,,468,,100,397,83.0,,,,3.0,32,179,0,4175,,27.0,204.0,,
Neutrophils,SPLN43,,732,,125,282,1136.0,,,,8.0,53,382,0,11873,,22.0,566.0,,
Plasma cells,SPLN43,,390,,171,1334,728.0,,,,1.0,7206,411,1,1087,,20.0,341.0,,
Promyelocyte,SPLN43,,33,,5,19,77.0,,,,1408.0,14,26,0,106,,1.0,137.0,,
Red pulp fibroblasts,SPLN43,,1574,,12122,494,1924.0,,,,11.0,97,885,11,2816,,134.0,842.0,,
Red pulp macrophages,SPLN43,,1242,,493,1463,4427.0,,,,7.0,145,17087,0,4043,,36.0,2176.0,,
Sinusoidal endothelial cells (littoral cells),SPLN43,,45183,,115,33,2151.0,,,,4.0,90,426,0,1496,,229.0,619.0,,
Smooth muscle,SPLN43,,729,,3019,2549,1667.0,,,,2.0,133,873,146,1413,,215.0,469.0,,
T cell zone reticular cells CCL21+ CCL19+,SPLN43,,4,,108,217,55.0,,,,0.0,31,6,5,255,,6.0,4.0,,
T cell zone reticular cells CXCL9+,SPLN43,,0,,0,3,0.0,,,,0.0,5,18,0,19,,0.0,0.0,,
T cells,SPLN43,,355,,152,2281,489.0,,,,3.0,140,183,1,8368,,16.0,337.0,,
Vascular smooth muscle cells,SPLN43,,4,,922,9,21.0,,,,0.0,4,12,1327,12,,46.0,2.0,,
White pulp macrophages,SPLN43,,10,,41,1251,55.0,,,,0.0,10,345,0,172,,10.0,8.0,,
"gdT cells, NK cells, and T cells",SPLN43,,192,,49,624,179.0,,,,11.0,34,220,0,3632,,6.0,221.0,,
Arterial endothelial cells (KDR+ CD34+),SPLN44,,169,1.0,64,18,68.0,3.0,49.0,9.0,3.0,16,54,4438,41,,,4.0,,1.0
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN44,,3,1.0,44,228,111.0,0.0,6.0,0.0,1.0,2,13,88,30,,,1.0,,0.0
B cell zone reticular cells CXCL13+MADCAM1+,SPLN44,,3,1.0,81,1453,196.0,0.0,9.0,9.0,3.0,12,14,511,241,,,0.0,,3.0
B cells,SPLN44,,129,72.0,4,27669,3443.0,34.0,57.0,2.0,14.0,106,53,273,519,,,35.0,,38.0
Conventional dendritic cells,SPLN44,,9,0.0,2,41,36.0,0.0,828.0,0.0,3.0,7,5,3,17,,,0.0,,220.0
Erythroid,SPLN44,,2598,5800.0,99,17,389.0,26.0,53.0,20.0,12.0,17,261,1,186,,,85.0,,6.0
"Germinal center B cells, proliferating",SPLN44,,0,1.0,0,380,17.0,0.0,1.0,2.0,3.0,126,0,32,459,,,0.0,,804.0
Low quality,SPLN44,,1060,59.0,273,787,7328.0,202.0,229.0,13.0,271.0,131,625,231,3458,,,3195.0,,7.0
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN44,,45,6.0,1386,61,250.0,6.0,66.0,2.0,5.0,14,242,1057,244,,,40.0,,3.0
Metamyelocyte/Band Neutrophils DEFA1+,SPLN44,,773,120.0,273,265,780.0,18.0,199.0,27.0,1073.0,137,443,30,1279,,,259.0,,8.0
Monocytes,SPLN44,,118,13.0,35,197,152.0,6.0,6814.0,19.0,82.0,33,96,10,311,,,109.0,,1.0
NK cells,SPLN44,,345,10.0,76,292,243.0,16.0,49.0,4938.0,19.0,36,190,17,1422,,,122.0,,7.0
Neutrophils,SPLN44,,3598,69.0,109,338,4005.0,78.0,357.0,4.0,728.0,44,857,48,27387,,,304.0,,0.0
Plasma cells,SPLN44,,240,19.0,147,1015,1057.0,11.0,236.0,8.0,27.0,11158,519,167,1155,,,143.0,,92.0
Promyelocyte,SPLN44,,70,24.0,22,63,116.0,6.0,60.0,15.0,3738.0,49,76,10,179,,,83.0,,5.0
Red pulp fibroblasts,SPLN44,,1356,70.0,14316,976,1607.0,121.0,345.0,12.0,42.0,127,1494,577,1844,,,325.0,,7.0
Red pulp macrophages,SPLN44,,522,49.0,52,1917,2449.0,57.0,7938.0,6.0,59.0,62,20045,38,979,,,573.0,,11.0
Sinusoidal endothelial cells (littoral cells),SPLN44,,40920,42.0,111,79,622.0,63.0,141.0,22.0,43.0,15,1158,80,248,,,41.0,,8.0
Smooth muscle,SPLN44,,374,24.0,614,1304,1596.0,42.0,220.0,4.0,14.0,110,729,450,995,,,108.0,,3.0
T cell zone reticular cells CCL21+ CCL19+,SPLN44,,4,0.0,34,571,39.0,1.0,64.0,2.0,1.0,39,27,2101,848,,,2.0,,3.0
T cell zone reticular cells CXCL9+,SPLN44,,0,0.0,0,4,11.0,0.0,244.0,1.0,0.0,1,16,0,40,,,0.0,,21.0
T cells,SPLN44,,776,78.0,154,1368,785.0,33.0,79.0,325.0,14.0,108,418,57,9349,,,90.0,,14.0
Vascular smooth muscle cells,SPLN44,,3,1.0,143,43,79.0,0.0,63.0,2.0,1.0,23,17,3774,27,,,0.0,,0.0
White pulp macrophages,SPLN44,,14,0.0,53,861,96.0,2.0,100.0,3.0,6.0,17,1767,116,207,,,1.0,,3.0
"gdT cells, NK cells, and T cells",SPLN44,,686,16.0,78,429,637.0,35.0,65.0,449.0,177.0,33,446,8,9216,,,33.0,,5.0
